model,condition,num_gist_tokens,steps,value,split
LLaMA,pos_control,1,3000,48.0998,unseen
LLaMA,pos_control,1,3000,58.0104,seen
LLaMA,pos_control,1,3000,27.0024,human
LLaMA,neg_control,1,3000,31.4194,unseen
LLaMA,neg_control,1,3000,31.5104,seen
LLaMA,neg_control,1,3000,14.4014,human
LLaMA,gist,1,3000,46.6212,unseen
LLaMA,gist,1,3000,57.779,seen
LLaMA,gist,1,3000,23.9176,human
LLaMA,gist,2,3000,46.4711,unseen
LLaMA,gist,2,3000,57.6075,seen
LLaMA,gist,2,3000,24.8724,human
LLaMA,gist,5,3000,46.4002,unseen
LLaMA,gist,5,3000,57.5675,seen
LLaMA,gist,5,3000,24.9192,human
LLaMA,gist,10,3000,47.7459,unseen
LLaMA,gist,10,3000,56.9077,seen
LLaMA,gist,10,3000,24.8356,human
FLAN-T5,pos_control,1,16000,45.7411,unseen
FLAN-T5,pos_control,1,16000,50.5839,seen
FLAN-T5,pos_control,1,16000,23.9329,human
FLAN-T5,neg_control,1,16000,29.127,unseen
FLAN-T5,neg_control,1,16000,25.4774,seen
FLAN-T5,neg_control,1,16000,12.3652,human
FLAN-T5,gist,1,16000,43.8152,unseen
FLAN-T5,gist,1,16000,48.8645,seen
FLAN-T5,gist,1,16000,21.7091,human
FLAN-T5,gist,2,16000,44.0516,unseen
FLAN-T5,gist,2,16000,48.5331,seen
FLAN-T5,gist,2,16000,20.7524,human
FLAN-T5,gist,5,16000,43.6741,unseen
FLAN-T5,gist,5,16000,47.9804,seen
FLAN-T5,gist,5,16000,21.242,human
FLAN-T5,gist,10,16000,44.531,unseen
FLAN-T5,gist,10,16000,49.1242,seen
FLAN-T5,gist,10,16000,20.9442,human
